Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
pollo,1,3,NA,NA,NA,A,30126,Start,1,ITI,1677.21,T,NA,NA,F,NA,NA,1677,F,<timeout>
pollo,1,3,NA,NA,NA,A,36540,Start,1,Start,36000000,T,NA,0,F,0,<space>,6367,F,<space>
pollo,1,3,NA,NA,NA,A,38379,Test,1,ITI,705.67,T,NA,NA,F,NA,NA,706,F,<timeout>
pollo,1,3,NA,NA,NA,A,38813,Test,1,White,1000,T,NA,0,F,0,<space>,387,F,<space>
pollo,1,3,NA,NA,NA,A,39732,Test,2,ITI,805.908,T,NA,NA,F,NA,NA,805,F,<timeout>
pollo,1,3,NA,NA,NA,A,40060,Test,2,White,1000,T,NA,0,F,0,<space>,281,F,<space>
pollo,1,3,NA,NA,NA,A,40558,Test,3,ITI,381.458,T,NA,NA,F,NA,NA,381,F,<timeout>
pollo,1,3,NA,NA,NA,A,40909,Test,3,White,1000,T,NA,0,F,0,<space>,303,F,<space>
pollo,1,3,NA,NA,NA,A,42064,Test,4,ITI,1043.15,T,NA,NA,F,NA,NA,1043,F,<timeout>
pollo,1,3,NA,NA,NA,A,42428,Test,4,White,1000,T,NA,0,F,0,<space>,317,F,<space>
pollo,1,3,NA,NA,NA,A,44206,Test,5,ITI,1666.72,T,NA,NA,F,NA,NA,1666,F,<timeout>
pollo,1,3,NA,NA,NA,A,44556,Test,5,White,1000,T,NA,0,F,0,<space>,303,F,<space>
pollo,1,3,NA,NA,NA,A,46373,Test,6,ITI,1706.72,T,NA,NA,F,NA,NA,1706,F,<timeout>
pollo,1,3,NA,NA,NA,A,46734,Test,6,White,1000,T,NA,0,F,0,<space>,314,F,<space>
pollo,1,3,NA,NA,NA,A,48760,Test,7,ITI,1916.59,T,NA,NA,F,NA,NA,1916,F,<timeout>
pollo,1,3,NA,NA,NA,A,49117,Test,7,White,1000,T,NA,0,F,0,<space>,311,F,<space>
pollo,1,3,NA,NA,NA,A,50658,Test,8,ITI,1431.05,T,NA,NA,F,NA,NA,1431,F,<timeout>
pollo,1,3,NA,NA,NA,A,51005,Test,8,White,1000,T,NA,0,F,0,<space>,301,F,<space>
pollo,1,3,NA,NA,NA,A,52432,Test,9,ITI,1319.28,T,NA,NA,F,NA,NA,1319,F,<timeout>
pollo,1,3,NA,NA,NA,A,52766,Test,9,White,1000,T,NA,0,F,0,<space>,287,F,<space>
pollo,1,3,NA,NA,NA,A,53150,Test,10,ITI,276.88,T,NA,NA,F,NA,NA,276,F,<timeout>
pollo,1,3,NA,NA,NA,A,53631,Test,10,White,1000,T,NA,0,F,0,<space>,432,F,<space>
pollo,1,3,NA,NA,NA,A,55244,End,1,ITI,1429.05,T,NA,NA,F,NA,NA,1429,F,<timeout>
pollo,1,3,NA,NA,NA,A,60767,End,1,End,36000000,T,NA,0,F,0,<space>,5477,F,<space>
